№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
21,98603101001,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,город Алдан,г,город,Алдан,98603101001,21490,1,58.6030555555556,125.384444444444,,10208,Верхоянский муниципальный район,,,,Усть-Майский,поселок Югоренок,поселок,Югоренок,98654166051.0,8 значные номера
22,98603101106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,город Алдан,с,село,Орочен 2-й,98603101106,18,2,58.5452777777778,125.377777777778,,24376,Вилюйский муниципальный район,,,,Усть-Майский,село Белькачи,село,Белькачи,98654405101.0,в ОКТМО 98654405000
23,98603101111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,город Алдан,с,село,Большой Нимныр,98603101111,123,2,58.0416666666667,125.482777777778,,12233,Горный муниципальный район,,,,Усть-Майский,село Усть-Миль,село,Усть-Миль,98654415101.0,в ОКТМО 98654415000
24,98603105001,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,город Томмот,г,город,Томмот,98603105001,6320,1,58.9594444444444,126.269722222222,,4179,Жиганский национальный эвенкийский муниципальный район,,,,Усть-Янский,Уяндинский,село,Уянди,98656427101.0,в ОКТМО Уяндино написано
25,98603105056,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,город Томмот,п,поселок,Безымянный,98603105056,0,1,58.7436111111111,126.387222222222,,11443,Кобяйский муниципальный район,,,,Чурапчинский,Чакырский,село,Толон,98658465101.0,2 Толона в Чурапчинском - другой Бахсытский
26,98603105106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,город Томмот,с,село,Ыллымах,98603105106,326,2,58.5791666666667,126.6875,,32271,Ленский муниципальный район,,,,,,,,,
27,98603105111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,город Томмот,с,село,Верхняя Амга,98603105111,12,2,59.6488888888889,127.116111111111,,32342,Мегино-Кангаласский муниципальный район,,,,,,,,,
28,98603105116,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,город Томмот,с,село,Улу,98603105116,109,2,60.315,127.431666666667,,71095,Мирнинский муниципальный район,,,,,,,,,
29,98603161051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,поселок Ленинский,п,поселок,Ленинский,98603161051,1715,1,58.5766666666667,125.435277777778,,3873,Момский муниципальный район,,,,,,,,,
30,98603161056,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,поселок Ленинский,п,поселок,Лебединый,98603161056,905,1,58.4922222222222,125.501388888889,,25220,Намский муниципальный район,,,,,,,,,
