№,Гидрометеорологический пост,Наименование реки,Район,Населенный пункт,ОКТМО,Дата (дд.мм.ггг),в % от нормы,в % от нормы.1
1949,Сангары,р.Лена,Кобяйский муниципальный район,Сангар,98624151051,2020-02-28,80,80.0
1950,Жиганск,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2020-02-28,165,165.0
1951,Бестяхская з/ф,р.Лена,Жиганский национальный эвенкийский муниципальный район,Бестях,98622405101,2020-02-28,120,120.0
1952,Джарджан,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2020-02-28,100,100.0
1953,Кюсюр,р.Лена,Булунский муниципальный район,Кюсюр,98612412101,2020-02-28,100,100.0
1954,Буяга,р.Амга,Алданский муниципальный район,Верхняя Амга,98603105111,2020-02-28,165,165.0
1955,Тегюльтя,р.Амга,Амгинский муниципальный район,Тегюльтя,98608429111,2020-02-28,165,165.0
1956,Амга,р.Амга,Амгинский муниципальный район,Амга,98608432101,2020-02-28,100,100.0
1957,Нагорный,р.Алдан,Алданский муниципальный район,Ыллымах,98603105106,2020-02-28,165,165.0
1958,Чульман,р.Алдан,Нерюнгринский муниципальный район,Чульман,98660165051,2020-02-28,200,200.0
1959,Канку,р.Алдан,Алданский муниципальный район,Большой Нимныр,98603101111,2020-02-28,165,165.0
1960,Суон-Тит,р.Алдан,Момский муниципальный район,Суон-Тит,98633423106,2020-02-28,120,120.0
1961,Томмот,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2020-02-28,165,165.0
1962,Угино,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2020-02-28,100,100.0
1963,Токо,р.Алдан,Олекминский муниципальный район,Токко,98641420101,2020-02-28,200,200.0
1964,Чюльбю,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2020-02-28,120,120.0
1965,Учур,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2020-02-28,165,165.0
1966,Усть-Миль,р.Алдан,Усть-Майский муниципальный район,Усть-Миль,98654415101,2020-02-28,165,165.0
1967,Усть-Юдома,р.Алдан,Усть-Майский муниципальный район,Усть-Юдома,98654151106,2020-02-28,120,120.0
1968,Югаренок,р.Алдан,Усть-Майский муниципальный район,Югоренок,98654166051,2020-02-28,200,200.0
1969,Усть-Мая,р.Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2020-02-28,120,120.0
1970,Охотский Перевоз,р.Алдан,Томпонский муниципальный район,Охотский-Перевоз,98650425101,2020-02-28,100,100.0
1971,Теплый Ключ,р.Алдан,Томпонский муниципальный район,Теплый Ключ,98650433101,2020-02-28,120,120.0
1972,Крест-Хальджай,р.Алдан,Томпонский муниципальный район,Крест-Хальджай,98650405101,2020-02-28,120,120.0
1973,Томпо,р.Алдан,Томпонский муниципальный район,Тополиное,98650435101,2020-02-28,120,120.0
1974,Чурапча,р.Алдан,Чурапчинский муниципальный район,Чурапча,98658470101,2020-02-28,120,120.0
1975,Верхоянский Перевоз,р.Алдан,Усть-Алданский муниципальный район,Кылайы,98652475101,2020-02-28,120,120.0
1976,Батамай,р.Алдан,Кобяйский муниципальный район,Батамай,98624414106,2020-02-28,120,120.0
1977,Сегян-Кюель,р.Алдан,Кобяйский муниципальный район,Сегян-Кюёль,98624414101,2020-02-28,70,70.0
1978,Лавинда,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2020-02-28,100,100.0
1979,Чона,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2020-02-28,100,100.0
1980,Туой-Хая,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2020-02-28,100,100.0
1981,Чернышевский,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2020-02-28,100,100.0
1982,Хабардино,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2020-02-28,100,100.0
1983,Айхал,р.Вилюй,Мирнинский муниципальный район,Айхал,98631152051,2020-02-28,120,120.0
1984,Шелагонцы,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2020-02-28,165,165.0
1985,Чумпурук,р.Вилюй,Нюрбинский муниципальный район,Малыкай,98626410101,2020-02-28,120,120.0
1986,Крестях,р.Вилюй,Сунтарский муниципальный район,Крестях,98648430101,2020-02-28,100,100.0
1987,Сунтар,р.Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2020-02-28,120,120.0
1988,Нюрба,р.Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2020-02-28,165,165.0
1989,Верхневилюйск,р.Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2020-02-28,100,100.0
1990,Вилюйск,р.Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2020-02-28,80,80.0
1991,Эйк,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2020-02-28,165,165.0
1992,Хатырык-Хомо,р.Вилюй,Кобяйский муниципальный район,Хатырык-Хомо,98624405111,2020-02-28,100,100.0
1993,Джалинда,р.Анабар,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2020-02-28,80,80.0
